string,pred
1/3 tablespoon Diamond Crystal (g); for table salt use half as much by volume or the same weight,table salt
"1/3 tablespoon fresh thyme leaves, roughly chopped",corn
1/3 tablespoon freshly squeezed lemon juice,lemon juice
1/3 tablespoon plus  teaspoon active dry yeast,active dry yeast
1/3 tablespoons ( grams) mascarpone or sour cream,sweetened cream
"1/3 tablespoons ( grams) mascarpone, sour cream, or applesauce",sour cream
"1/3 tablespoons (g) plain or toasted sugar, divided",sugar
1/3 tablespoons (g) unsalted butter,unsalted butter
"1/3 tablespoons (g) unsalted butter, cut into roughly -inch cubes",unsalted butter
"1/3 tablespoons (g) unsalted butter, cut into roughly -inch cubes (optional)",unsalted butter
"1/3 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",beef tenderloin
"1/3 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat (optional)",beef snapper
1/3 tablespoons chives,chives
1/3 tablespoons chopped fresh chives,chives
1/3 tablespoons high-quality unsalted butter,unsalted butter
1/3 tablespoons kosher salt,kosher salt
1/3 tablespoons unsalted butter,unsalted butter
"1/3 tablespoons unsalted butter, at room temperature",unsalted butter
1/3 Taste cane syrup,cane syrup
1/3 Taste simple syrup,simple syrup
1/3 tbsp acid phosphate,acid phosphate
1/3 tbsp apple cider vinegar,apple cider vinegar
1/3 tbsp brandy,brandy
"1/3 tbsp butter, room temperature",butter
"1/3 tbsp butter, softened",butter
1/3 tbsp cane simple syrup,simple syrup
1/3 tbsp celery salt,celery salt
1/3 tbsp chicory,chicory
1/3 tbsp cocoa powder,cocoa powder
1/3 tbsp cranberry sorbet,cranberry sorbet
1/3 tbsp dark brown sugar,dark brown sugar
1/3 tbsp demerara sugar,demerara sugar
1/3 tbsp dried ancho chile,ancho chile
"1/3 tbsp dry sparkling wine, chilled",sparkling wine
1/3 tbsp edible gold flake,edible gold flake
1/3 tbsp egg white,egg white
1/3 tbsp extra virgin olive oil,extra virgin olive oil
"1/3 tbsp fresh mint, minced",mint
"1/3 tbsp ginger, minced",ginger
1/3 tbsp granulated sugar,granulated sugar
1/3 tbsp honey,honey
"1/3 tbsp horseradish, grated",horseradish
"1/3 tbsp jalapeno, diced",jalapeno
1/3 tbsp kosher salt,kosher salt
"1/3 tbsp lemon juice, freshly squeezed",lemon juice
1/3 tbsp lemon zest,lemon zest
"1/3 tbsp lemon zest, grated",lemon zest
1/3 tbsp lemongrass,lemongrass
"1/3 tbsp lime juice, freshly squeezed",lime juice
1/3 tbsp lime zest,lime zest
1/3 tbsp malted milk powder,malted milk powder
1/3 tbsp maple syrup,maple syrup
1/3 tbsp orange curacao,orange curacao
1/3 tbsp orange zest,orange zest
1/3 tbsp pumpkin butter,pumpkin liqueur
"1/3 tbsp rosemary, fresh",rosemary
1/3 tbsp rye whiskey,rye whiskey
1/3 tbsp simple syrup,simple syrup
1/3 tbsp sparkling wine,sparkling wine
1/3 tbsp spiced simple syrup,chia simple syrup
1/3 tbsp sugar,sugar
1/3 tbsp superfine sugar,superfine sugar
1/3 tbsp sweet vermouth,sweet vermouth
1/3 tbsp unsalted butter,unsalted butter
1/3 tbsp water,water
1/3 tbsp watercress,watercress
"1/3 tbsp white onion, diced",white onion
1/3 tbsp white rum,white rum
1/3 tbsp white rum (optional),white rum
1/3 tbsp whole allspice,allspice
1/3 tbsp whole anise,anise
1/3 tbsp whole black peppercorn,black peppercorn
1/3 tbsp whole clove,clove
1/3 tbsp whole coriander seed,coriander seed
1/3 tbsp whole cumin seed,cumin seed
1/3 teaspoon (g) baking soda,baking soda
1/3 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,table salt salt
1/3 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight (optional),table salt salt
1/3 teaspoon adobo sauce from the pepper can,whole steaks
1/3 teaspoon baking soda,baking soda
1/3 teaspoon freshly ground black pepper,black sugar
1/3 teaspoon freshly ground black pepper (optional),black sugar
"1/3 teaspoon freshly ground white pepper, plus more to taste",white bell
1/3 teaspoon garlic powder,garlic powder
1/3 teaspoon ground cinnamon,ground cinnamon
1/3 teaspoon ground cloves,ground cloves
1/3 teaspoon ground cloves (optional),ground cloves
1/3 teaspoon kosher salt,kosher salt
1/3 teaspoon onion powder,onion powder
1/3 teaspoons ground ginger,ground ginger
1/3 teaspoons kosher salt,kosher salt
"1/3 to   pounds (. to .kg) russet potatoes, peeled and sliced  inch thick on a mandoline slicer ( to  medium potatoes; see note)",russet potatoes
"1/3 to  tablespoons powdered sugar, plus more to decorate",powdered milk
1/3 to taste lemon juice,lemon juice
1/3 tsp absinthe,absinthe
1/3 tsp agave,agave
1/3 tsp agave simple syrup,barley malt
1/3 tsp almond extract,almond extract
1/3 tsp angostura bitters,angostura bitters
1/3 tsp balsamic simple syrup,balsamic simple syrup
1/3 tsp balsamic vinegar,balsamic vinegar
1/3 tsp benedictine,benedictine
1/3 tsp black peppercorn,black peppercorn
1/3 tsp black peppercorn (optional),black peppercorn
"1/3 tsp black peppercorn, freshly ground",black peppercorn
"1/3 tsp cardamom pod, lightly crushed",cardamom pod
1/3 tsp celery salt,celery salt
1/3 tsp cherry heering,cherry heering
1/3 tsp cinchona bark,cinchona bark
1/3 tsp citric acid,citric acid
1/3 tsp cognac,cognac
1/3 tsp cointreau,cointreau
"1/3 tsp coriander seed, ground",coriander seed
1/3 tsp creme de violette,creme de violette
"1/3 tsp creme de violette, optional",creme de violette
"1/3 tsp creme de violette, optional (optional)",creme de violette
1/3 tsp demerara simple syrup,simple simple syrup
1/3 tsp dried lavender,lavender
1/3 tsp fig jam,fig jam
1/3 tsp finely grated dark chocolate,dark chocolate
1/3 tsp freshly grated nutmeg,grated nutmeg
1/3 tsp grand marnier,grand marnier
1/3 tsp granulated sugar,granulated sugar
1/3 tsp grenadine,grenadine
1/3 tsp ground cinnamon,ground cinnamon
1/3 tsp ground ginger,ground ginger
1/3 tsp ground pink peppercorn,pink peppercorn
1/3 tsp harissa paste,harissa paste
1/3 tsp herbsaint,herbsaint
1/3 tsp honey,honey
"1/3 tsp horseradish sauce, freshly grated",horseradish sauce
1/3 tsp hot sauce,hot sauce
1/3 tsp kosher salt,kosher salt
1/3 tsp lemon juice,lemon juice
"1/3 tsp lemon juice, freshly squeezed",lemon juice
1/3 tsp maple syrup,maple syrup
1/3 tsp maraschino liqueur,maraschino liqueur
1/3 tsp mustard seed,mustard seed
"1/3 tsp nutmeg, freshly grated",nutmeg
1/3 tsp orange bitters,orange bitters
1/3 tsp orange blossom water,orange blossom water
1/3 tsp orange marmalade,orange marmalade
1/3 tsp pernod,pernod
1/3 tsp pimento bitters,bitters bitters
"1/3 tsp pomegranate seed, ground",pomegranate seed
1/3 tsp rose water,rose water
1/3 tsp salt,salt
1/3 tsp sea salt,sea salt
1/3 tsp sherry vinegar,sherry vinegar
1/3 tsp simple syrup,simple syrup
1/3 tsp soy sauce,soy sauce
1/3 tsp sugar,sugar
1/3 tsp superfine sugar,superfine sugar
1/3 tsp triple sec,triple sec
1/3 tsp vanilla extract,vanilla extract
1/3 tsp water,water
"1/3 tsp water, warm",water
1/3 tsp whole allspice,allspice
1/3 tsp whole anise,anise
1/3 tsp whole black peppercorn,black peppercorn
1/3 tsp whole clove,clove
1/3 tsp whole coriander seed,coriander seed
1/3 tsp whole fennel seed,fennel seed
1/3 tsp whole mace,mace
1/3 tsp worcestershire sauce,worcestershire sauce
1/3 twist grapefruit,grapefruit
1/3 twist lemon,lemon
1/3 twist lime,lime
1/3 twist lime (optional),lime
1/3 twist orange,orange
1/3 twist orange zest,orange zest
1/3 vanilla bean,vanilla bean
"1/3 vanilla bean (g), split and scraped or  teaspoon vanilla extract",vanilla bean
1/3 wedge cucumber,cucumber
1/3 wedge cucumber (optional),cucumber
1/3 wedge grapefruit,grapefruit
1/3 wedge lemon,lemon
"1/3 wedge lemon, juiced",lemon
1/3 wedge lime,lime
1/3 wedge orange,orange
1/3 wedge pineapple,pineapple
1/3 wedge tangerine,tangerine
1/3 wheel cucumber,cucumber
1/3 wheel lemon,lemon
1/3 wheel lime,lime
1/3 wheel orange,orange
"1/3 wheel orange, for garnish",orange
1/3 whole anise,anise
"1/3 whole bone-in, skin-on pork shoulder,  to  pounds total",pork fatback
1/3 whole cinnamon stick,cinnamon stick
1/3 whole clove,clove
"1/4 -oz grapefruit hefeweizen, chilled",grapefruit hefeweizen
1/4 absinthe,absinthe
1/4 allspice,allspice
1/4 angostura bitters,angostura bitters
1/4 apple,apple
1/4 barspoon brown sugar,brown sugar
1/4 barspoon maraschino liqueur,maraschino liqueur
1/4 batch ginger-cardamom simple syrup,simple syrup
1/4 bay leaf,bay leaf
1/4 bay leaves,bay leaves
1/4 bay leaves (optional),bay leaves
"1/4 black peppercorn, cracked",black peppercorn
1/4 bottle bourbon,bourbon
"1/4 bottle cava, chilled",cava
1/4 bottle cheap red wine,red wine
"1/4 bottle coffee, cold",coffee
"1/4 bottle cognac,  ml",cognac
1/4 bottle dry red wine,red wine peppers
"1/4 bottle dry rose, cold",light sugar
"1/4 bottle dry sparkling wine, chilled",sparkling wine
1/4 bottle dry white wine,cooked wine rice
1/4 bottle dry white wine (optional),cooked wine rice
1/4 bottle duvel beer,duvel beer
"1/4 bottle prosecco, chilled",prosecco
1/4 bottle scotch,scotch
1/4 bottle seltzer,seltzer
1/4 bottle vodka,vodka
1/4 brandied cherry,cherry
1/4 brut sparkling wine,sparkling wine
1/4 c. maple syrup,maple syrup
1/4 c. milk,milk
1/4 can clamato,clamato
1/4 can grapefruit soda,grapefruit soda
1/4 can maraschino cherry,maraschino cherry
1/4 candied ginger,candied ginger
1/4 cardamom pod,cardamom pod
1/4 cherry,cherry
1/4 cherry tomatoes,cherry tomatoes
"1/4 chipotle chile pepper in adobo sauce, chopped",chipotle chile adobo adobo adobo adobo
1/4 cinnamon stick,cinnamon stick
1/4 cinnamon stick or pinch ground cinnamon,ground cinnamon
"1/4 cinnamon, grated",cinnamon
1/4 clove,clove
1/4 clove cinnamon stick,cinnamon stick
1/4 clove medium garlic,garlic
"1/4 clove medium garlic, thinly sliced",garlic
"1/4 cloves  garlic, crushed",garlic
1/4 club soda,club soda
"1/4 club soda, chilled",club soda
1/4 crushed ice,crushed ice
1/4 cup ( grams) all-purpose flour,flour flour
1/4 cup ( grams) dark brown sugar,dark brown sugar
1/4 cup ( grams) fresh cranberries,cabbage
1/4 cup ( grams) molasses or treacle [updated weight],molasses
1/4 cup ( grams) plus  cup ( grams) granulated sugar,granulated sugar
1/4 cup ( grams) water,water
1/4 cup (10g) chopped fresh flat-leaf parsley leaves,short phosphate
"1/4 cup (60ml) cider vinegar, plus more to taste",malt vinegar
1/4 cup (60ml) extra-virgin olive oil,nutmeg
1/4 cup (60ml) fresh juice from 3 to 4 limes (see note),limes
1/4 cup (60ml) sour cream,sour cream
1/4 cup (60ml) vodka or bourbon,vodka
1/4 cup (about 1 small handful) finely chopped fresh mint leaves,agar
1/4 cup (about 1 small handful) minced fresh oregano leaves,sage
1/4 cup (g) water or milk (see note),water water
1/4 cup achiote seeds,date
1/4 cup aged rum,aged rum
1/4 cup aged rum (optional),aged rum
1/4 cup all-purpose flour,flour flour
1/4 cup almond,almond
1/4 cup aperol,aperol
1/4 cup apple brandy,apple brandy
1/4 cup apple cider,apple cider
1/4 cup apple cider vinegar,apple cider vinegar
"1/4 cup apple cider, fresh",apple cider
1/4 cup apple schnapps,apple schnapps
1/4 cup applejack,applejack
"1/4 cup beef broth, chilled",beef broth
1/4 cup blanched almond,blanched almond
1/4 cup boiled green peas,red grapes
1/4 cup bourbon,bourbon
1/4 cup brandy,brandy
"1/4 cup brewed black tea, chilled",brewed black tea
1/4 cup brown sugar,brown sugar
1/4 cup butter melted,butter
1/4 cup buttermilk,buttermilk
1/4 cup campari,campari
"1/4 cup cardamom pod, lightly crushed",cardamom pod
1/4 cup celery salt,celery salt
1/4 cup charred lemon juice,lemon juice
"1/4 cup cherry, pitted",cherry
1/4 cup chicken stock,chicken stock
"1/4 cup chopped cilantro leaves, divided",vinegar
1/4 cup chopped flat-leaf parsley,parsley
1/4 cup chopped fresh parsley,parsley
1/4 cup chopped fresh parsley leaves,parsley
1/4 cup chopped pineapple,pineapple
"1/4 cup cilantro, fresh",cilantro
1/4 cup cocoa powder,cocoa powder
1/4 cup coconut milk,coconut milk
1/4 cup coffee bean,coffee bean
1/4 cup cognac,cognac
1/4 cup cold vodka,vodka
1/4 cup cold water,water
1/4 cup concord grape,concord grape
1/4 cup concord grape (optional),concord grape
1/4 cup corn syrup,corn syrup
1/4 cup cornstarch,cornstarch
1/4 cup crème fraîche or sour cream,sour cream
1/4 cup cranberry,cranberry
1/4 cup cranberry sauce,cranberry sauce
"1/4 cup cranberry, fresh",cranberry
"1/4 cup cranberry, sliced",cranberry
1/4 cup creme de cassis,creme de cassis
1/4 cup crushed ice,crushed ice
1/4 cup crushed ice cube,ice cube
1/4 cup dark rum,dark rum
1/4 cup demerara sugar,demerara sugar
1/4 cup diced boiled carrots,carrots
1/4 cup distilled white vinegar,white vinegar
1/4 cup extra-virgin olive oil,olive oil
"1/4 cup extra-virgin olive oil, plus additional for drizzling",olive oil
"1/4 cup extra-virgin olive oil, plus more for drizzling potatoes after cooked",chili powder
1/4 cup filtered water,water water
1/4 cup finely chopped celery,celery
"1/4 cup finely chopped fresh cilantro, if you’re measuring, or a big handful",cilantro
"1/4 cup finely chopped fresh parsley, if you’re measuring, or a big handful",parsley
1/4 cup finely minced cilantro,cilantro
1/4 cup finely sliced scallion greens,scallion
1/4 cup finely sliced scallions,clams
"1/4 cup fish sauce, plus more to taste",fish sauce
1/4 cup fresh juice from 3 to 4 limes,limes
1/4 cup fresh mint,mint
"1/4 cup fresh pineapple, cut into chunks",pineapple
"1/4 cup fresh strawberry, sliced",strawberry
1/4 cup freshly squeezed grapefruit juice,grapefruit juice
1/4 cup freshly squeezed lemon juice,lemon juice
1/4 cup gin,gin
1/4 cup ginger beer,ginger beer
"1/4 cup ginger, grated",ginger
"1/4 cup ginger, peeled and roughly chopped",ginger
1/4 cup granulated sugar,granulated sugar
1/4 cup grape,grape
"1/4 cup grapefruit juice, freshly squeezed",grapefruit juice
1/4 cup grated Parmesan,parmesan
1/4 cup half and half,half and half
1/4 cup hazelnut,hazelnut
1/4 cup heavy cream,heavy cream
"1/4 cup heavy cream, well chilled",heavy cream
1/4 cup honey,honey
1/4 cup ice cube,ice cube
1/4 cup kosher salt,kosher salt
"1/4 cup kosher salt, divided",kosher salt
1/4 cup lemon juice,lemon juice
"1/4 cup lemon juice, fresh",lemon juice
"1/4 cup lemon juice, freshly squeezed",lemon juice
1/4 cup light olive oil,flax amaretto
1/4 cup lillet rose,lillet rose
1/4 cup lime juice,lime juice
"1/4 cup lime juice, freshly squeezed",lime juice
1/4 cup liquid from can of chickpeas,short chard
1/4 cup low-sodium chicken stock,chicken stock
1/4 cup maltose syrup or honey (see note),honey jam
1/4 cup maple syrup,maple syrup
1/4 cup maple syrup (optional),maple syrup
1/4 cup mezcal,mezcal
1/4 cup milk,milk
1/4 cup minced basil or parsley (or a mix of both),basil
1/4 cup mint,mint
1/4 cup mirin,mirin
"1/4 cup mixed berries, frozen",mixed berries
1/4 cup olive oil,olive oil
"1/4 cup orange juice, fresh",orange juice
"1/4 cup orange juice, freshly squeezed",orange juice
1/4 cup oyster sauce,oyster cracker
"1/4 cup peach, frozen",peach
1/4 cup pear liqueur,pear liqueur
1/4 cup pine nuts,pine nuts
"1/4 cup pineapple, cut into chunks",pineapple
"1/4 cup pink grapefruit, fresh",pink grapefruit
"1/4 cup plain yogurt, preferably whole-milk though low-fat will work, plus additional for serving",yogurt
1/4 cup prepared horseradish,coho condensed
1/4 cup pumpkin puree,pumpkin puree
1/4 cup punt e mes,punt e mes
1/4 cup raspberry,raspberry
1/4 cup raw turbinado sugar,turbinado sugar
1/4 cup red wine,red wine
1/4 cup red wine vinegar,red wine vinegar
1/4 cup rice,rice
1/4 cup rice wine vinegar,rice wine vinegar
1/4 cup roasted chili oil (see note),chili oil
"1/4 cup roasted, salted pumpkin seeds (aka pepitas)",pumpkin paste
1/4 cup rosemary gin simple syrup,simple syrup
1/4 cup rum,rum
1/4 cup sake,sake
1/4 cup scotch,scotch
"1/4 cup seedless watermelon, cubed",watermelon
1/4 cup seltzer,seltzer
"1/4 cup seltzer, chilled",seltzer
"1/4 cup semisweet chocolate chip, chopped",chocolate chip
1/4 cup sesame oil,sesame oil
1/4 cup shaoxing wine or dry sherry,dry cube
1/4 cup shaoxing wine or dry sherry (divided),dry cube
1/4 cup simple syrup,simple syrup
1/4 cup small ice cube,ice cube
1/4 cup sour cream,sour cream
1/4 cup soy sauce,soy sauce
1/4 cup soy sauce (divided),soy sauce
1/4 cup sparkling wine,sparkling wine
1/4 cup sugar,sugar
"1/4 cup tangerine juice, fresh squeezed",tangerine juice
1/4 cup tequila,tequila
"1/4 cup tonic water, chilled",tonic water
1/4 cup triple sec,triple sec
1/4 cup turbinado sugar,turbinado sugar
1/4 cup unsweetened cocoa powder,cocoa powder
1/4 cup unsweetened cranberry juice,cranberry juice
1/4 cup vanilla ice cream,vanilla ice cream
1/4 cup vegetable oil,vegetable oil
"1/4 cup vegetable oil, divided",vegetable oil
1/4 cup vodka,vodka
1/4 cup water,water
1/4 cup water mixed with 2 teaspoons cornstarch,pectic masala
"1/4 cup water, boiling",water
"1/4 cup water, cold",water
"1/4 cup water, heated",water
1/4 cup whole milk,whole milk
"1/4 cup whole milk, warmed to about ° F by microwaving for  seconds",whole milk
1/4 cup yellow chartreuse,yellow bell pepper
"1/4 cups (  ounces; g) dried field peas (cowpeas), preferably not black-eyed peas, rinsed, picked over for debris, and soaked overnight (see note)",peas peas
1/4 cups ( ml) heavy cream,heavy cream
1/4 cups ( ounces; g) uncooked parboiled long-grain white rice,white rice rice
1/4 cups (ml) heavy cream,heavy cream
1/4 cups (ml) whole milk,whole milk
1/4 cups all-purpose flour,flour flour
1/4 dash absinthe,absinthe
1/4 dash angostura bitters,angostura bitters
1/4 dash bitters,bitters
1/4 dash brandy,brandy
1/4 dash burlesque bitters,bitters bitters
1/4 dash cayenne pepper,cayenne pepper
1/4 dash celery bitters,celery bitters
